
class:46, accuracy:0.69565
class:47, accuracy:0.93
class:48, accuracy:0.77
class:49, accuracy:0.85
class:50, accuracy:0.66
class:51, accuracy:0.45
class:52, accuracy:0.89
class:53, accuracy:0.89
class:54, accuracy:0.75
* Accuracy: 0.88829 under 54 classes, 5 samples/class

model:58_layers18_margin20_epoch58.tar
class:1 , accuracy:0.77174
class:2 , accuracy:1.0
class:3 , accuracy:0.99
class:4 , accuracy:0.88
class:5 , accuracy:0.93333
class:6 , accuracy:0.99
class:7 , accuracy:0.97
class:8 , accuracy:0.99
class:9 , accuracy:0.98
class:10, accuracy:0.98
class:11, accuracy:0.98
class:12, accuracy:1.0
class:13, accuracy:0.87143
class:14, accuracy:1.0
class:15, accuracy:0.82
class:16, accuracy:1.0
class:17, accuracy:0.99
class:18, accuracy:1.0
class:19, accuracy:1.0
class:20, accuracy:0.93
class:21, accuracy:1.0
class:22, accuracy:0.99
class:23, accuracy:0.93
class:24, accuracy:0.93
class:25, accuracy:0.99
class:26, accuracy:0.79
class:27, accuracy:0.97
class:28, accuracy:0.99
class:29, accuracy:0.51
class:30, accuracy:0.82
class:31, accuracy:0.97938
class:32, accuracy:1.0
class:33, accuracy:0.9
class:34, accuracy:1.0
class:35, accuracy:0.69
class:36, accuracy:1.0
class:37, accuracy:0.99
class:38, accuracy:0.95
class:39, accuracy:0.93
class:40, accuracy:1.0
class:41, accuracy:0.37
class:42, accuracy:0.75
class:43, accuracy:0.84444
class:44, accuracy:0.74
class:45, accuracy:0.35
class:46, accuracy:0.81159
class:47, accuracy:0.99
class:48, accuracy:0.77
class:49, accuracy:0.78
class:50, accuracy:0.54
class:51, accuracy:0.51
class:52, accuracy:0.72
class:53, accuracy:0.63
class:54, accuracy:0.8
* Accuracy: 0.86903 under 54 classes, 5 samples/class

model:3_layers18_margin20_epoch3.tar
class:1 , accuracy:0.33696
class:2 , accuracy:0.87
class:3 , accuracy:0.92
class:4 , accuracy:0.53
class:5 , accuracy:0.25
class:6 , accuracy:0.88
class:7 , accuracy:0.74
class:8 , accuracy:0.53
class:9 , accuracy:0.6
class:10, accuracy:0.44
class:11, accuracy:0.66
class:12, accuracy:0.95
class:13, accuracy:0.45714
class:14, accuracy:0.99
class:15, accuracy:0.65
class:16, accuracy:0.73
class:17, accuracy:0.45
class:18, accuracy:1.0
class:19, accuracy:0.63
class:20, accuracy:0.44
class:21, accuracy:0.93
class:22, accuracy:0.81
class:23, accuracy:0.39
class:24, accuracy:0.24
class:25, accuracy:0.97
class:26, accuracy:0.37
class:27, accuracy:0.89
class:28, accuracy:0.5
class:29, accuracy:0.75
class:30, accuracy:0.76
class:31, accuracy:0.60825
class:32, accuracy:0.67
class:33, accuracy:0.41
class:34, accuracy:0.99
class:35, accuracy:0.61
class:36, accuracy:0.46154
class:37, accuracy:0.97
class:38, accuracy:0.8
class:39, accuracy:0.63
class:40, accuracy:0.63265
class:41, accuracy:0.36
class:42, accuracy:0.38
class:43, accuracy:0.52222
class:44, accuracy:0.26
class:45, accuracy:0.41
class:46, accuracy:0.65217
class:47, accuracy:0.67
class:48, accuracy:0.41
class:49, accuracy:0.7
class:50, accuracy:0.37
class:51, accuracy:0.55
class:52, accuracy:0.15
class:53, accuracy:0.54
class:54, accuracy:0.23
* Accuracy: 0.60921 under 54 classes, 5 samples/class

model:81_layers18_margin20_epoch81.tar
class:1 , accuracy:0.8587
class:2 , accuracy:1.0
class:3 , accuracy:1.0
class:4 , accuracy:0.92
class:5 , accuracy:0.96667
class:6 , accuracy:1.0
class:7 , accuracy:1.0
class:8 , accuracy:1.0
class:9 , accuracy:0.99
class:10, accuracy:0.99
class:11, accuracy:1.0
class:12, accuracy:1.0
class:13, accuracy:1.0
class:14, accuracy:1.0
class:15, accuracy:0.9
class:16, accuracy:1.0
class:17, accuracy:1.0
class:18, accuracy:1.0
class:19, accuracy:1.0
class:20, accuracy:0.96
class:21, accuracy:1.0
class:22, accuracy:1.0
class:23, accuracy:0.97
class:24, accuracy:0.98
class:25, accuracy:0.99
class:26, accuracy:0.79
class:27, accuracy:0.98
class:28, accuracy:1.0
class:29, accuracy:0.91
class:30, accuracy:0.91
class:31, accuracy:0.96907
class:32, accuracy:1.0
class:33, accuracy:0.94
class:34, accuracy:1.0
class:35, accuracy:0.11
class:36, accuracy:1.0
class:37, accuracy:1.0
class:38, accuracy:0.97
class:39, accuracy:0.98
class:40, accuracy:1.0
class:41, accuracy:0.38
